Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Bheja Fry,Holiday,No,No,comedy,No,Yes,No,Vinay Pathak,Sagar Ballary,Sagar Desai,120,15000000,125800000,8.386666667,2007,95,7.6,11444,Sagar Ballary,Vinay Pathak,Rajat Kapoor,Sarika
Aashiqui 2,Normal,Yes,No,love_story,No,No,No,Aditya Roy Kapoor,Mohit Suri,Mithoon,1150,150000000,1093800000,7.292,2013,132,7,27357,Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa
Tanu Weds Manu Returns,Normal,No,Yes,rom__com,No,No,Yes,R. Madhavan,Anand L. Rai,Surj RDB,2150,390000000,2436435000,6.247269231,2015,128,7.6,26843,Aanand L. Rai,Kangana Ranaut,Madhavan,Jimmy Sheirgill
Vivah,Normal,No,No,drama,No,No,No,Shahid Kapoor,Sooraj Barjatya,Ravindra Jain,200,80000000,495600000,6.195,2006,160,6.6,9288,Sooraj R. Barjatya,Shahid Kapoor,Amrita Rao,Anupam Kher
Vicky Donor,Normal,No,No,comedy,Yes,No,Yes,Ayushman Khurana,Shoojit Sircar,Rochak Kohli,575,100000000,613200000,6.132,2012,126,7.8,40589,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor
Malamaal Weekly,Normal,No,No,comedy,No,No,Yes,Riteish Deshmukh,Priyadarshan,Uttankk V. Vorra,300,70000000,427680000,6.109714286,2006,137,7,6120,Priyadarshan,Paresh Rawal,Om Puri,Riteish Deshmukh
Dabangg,Holiday,No,No,action,No,Yes,No,Salman Khan,Abhinav Kashyap,Sajid - Wajid,1900,410000000,2192700000,5.34804878,2010,126,6.2,30194,Abhinav Kashyap,Salman Khan,Sonakshi Sinha,Sonu Sood
Dangal,Holiday,No,No,drama,No,No,No,Aamir Khan,Nitish Tiwari,Pritam,4250,1320000000,7024750000,5.321780303,2016,161,8.4,165074,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh
Murder 2,Normal,No,Yes,thriller,No,No,No,Emraan Hashmi,Mohit Suri,Mithoon,1300,130000000,678450000,5.218846154,2011,127,6.2,6662,Mohit Suri,Emraan Hashmi,Jacqueline Fernandez,Prashant Narayanan
Salaam Namaste,Normal,No,No,rom__com,No,Yes,No,Saif Ali Khan,Siddharth Anand,Vishal - Shekhar,325,110000000,572300000,5.202727273,2005,158,6.2,6981,Siddharth Anand,Saif Ali Khan,Preity Zinta,Arshad Warsi
Bunty Aur Babli,Normal,No,No,comedy,No,No,No,Abhishek Bachchan,Shaad Ali,Shankar - Ehsaan - Loy,475,125000000,637405000,5.09924,2005,170,6.2,6550,Shaad Ali,Abhishek Bachchan,Rani Mukerji,Amitabh Bachchan
PK,Normal,No,No,drama,No,No,No,Aamir Khan,Rajkumar Hirani,Ajay - Atul,3600,1220000000,6160362500,5.049477459,2014,153,8.1,168150,Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt
Bajrangi Bhaijaan,Holiday,No,No,masala,No,No,No,Salman Khan,Kabir Khan,Pritam,4100,1250000000,6039940000,4.831952,2015,163,8,78448,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui
Kahaani,Normal,No,No,thriller,No,No,No,Vidya Balan,Sujoy Ghosh,Vishal - Shekhar,1100,200000000,917100000,4.5855,2012,122,8.1,59060,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta
Kyaa Kool Hai Hum,Holiday,No,No,comedy,No,No,No,Tusshar Kapoor,Sangeeth Sivan,Anu Malik,250,50000000,228500000,4.57,2005,172,6.1,3296,Sangeeth Sivan,Tusshar Kapoor,Riteish Deshmukh,Isha Koppikar
3 Idiots,Holiday,No,No,drama,No,No,No,Aamir Khan,Rajkumar Hirani,Shantanu Moitra,1750,770000000,3491035000,4.533811688,2009,170,8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
Kis Kisko Pyaar Karoon,Holiday,No,No,comedy,No,No,Yes,Kapil Sharma,Abbas - Mustan,Dr. Zeus,1700,160000000,716000000,4.475,2015,133,5.7,5679,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Kapil Sharma,Simran Kaur Mundi
Badrinath Ki Dulhania,Holiday,No,Yes,love_story,No,No,Yes,Varun Dhawan,Shashank Khaitan,Akhil Sachdeva,2800,440000000,1948152500,4.427619318,2017,139,6.1,10865,Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid
Neerja,Holiday,No,No,drama,No,Yes,Yes,Sonam Kapoor,Ram Madhvani,Vishal Khurana,1000,280000000,1187190000,4.239964286,2016,122,7.6,21470,Ram Madhvani,Sonam Kapoor,Shabana Azmi,Yogendra Tiku
Queen,Normal,No,No,drama,No,Yes,No,Kangana Ranaut,Vikas Bahl,Amit Trivedi,800,230000000,974180000,4.235565217,2013,146,8.2,61852,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon
Rab Ne Bana Di Jodi,Normal,No,No,love_story,No,No,No,Shahrukh Khan,Aditya Chopra,Salim - Sulaiman,1350,390000000,1574175000,4.036346154,2008,167,7.2,44985,Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak
Pyaar Ka Punchnama 2,Normal,No,Yes,comedy,No,No,No,Kartik Tiwari,Luv Ranjan,Hitesh Sonik,1400,220000000,881767500,4.008034091,2015,137,7.2,14259,Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar
Hindi Medium,Normal,No,No,comedy,No,No,No,Irrfan Khan,Saket Chaudhary,Sachin - Jigar,1050,230000000,918550000,3.993695652,2017,132,7.9,24676,Saket Chaudhary,Irrfan Khan,Saba Qamar,Dishita Sehgal
Sultan,Holiday,No,No,masala,No,No,No,Salman Khan,Ali Abbas Zafar,Vishal - Shekhar,4350,1450000000,5772875000,3.981293103,2016,170,7,41777,Ali Abbas Zafar,Salman Khan,Kubbra Sait,Anushka Sharma
Delhi Belly,Holiday,No,No,comedy,No,Yes,No,Imran Khan,Abhinay Deo,Ram Sampath,1250,230000000,911950000,3.965,2011,103,7.6,28299,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
Yeh Jawaani Hai Deewani,Normal,No,No,love_story,No,No,No,Ranbir Kapoor,Ayan Mukherji,Pritam,2900,750000000,2956130000,3.941506667,2013,160,7.1,39863,Ayan Mukherjee,Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor
Fukrey Returns,Normal,No,Yes,comedy,No,No,Yes,Pulkit Samrat,Mrighdeep Singh Lamba,Shree - Isshq,1500,290000000,1122805000,3.871741379,2017,141,6.5,4890,Mrighdeep Lamba,Pulkit Samrat,Varun Sharma,Ali Fazal
2 States,Holiday,No,No,love_story,No,Yes,No,Arjun Kapoor,Abhishek Varman,Shankar - Ehsaan - Loy,1900,450000000,1729900000,3.844222222,2014,149,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
Phir Hera Pheri,Normal,No,Yes,comedy,No,No,No,Akshay Kumar,Neeraj Vora,Himesh Reshammiya,575,180000000,691200000,3.84,2006,153,7,19525,Neeraj Vora,Akshay Kumar,Sunil Shetty,Paresh Rawal
Grand Masti,Holiday,No,Yes,comedy,No,No,No,Riteish Deshmukh,Indra Kumar,Sanjeev - Darshan,2100,340000000,1305110000,3.838558824,2013,137,4.4,5921,Indra Kumar,Riteish Deshmukh,Vivek Oberoi,Aftab Shivdasani
Guru,Holiday,No,No,drama,No,No,No,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,650,220000000,836710000,3.803227273,2007,166,7.7,22476,Mani Ratnam,Mithun Chakraborty,Abhishek Bachchan,Aishwarya Rai Bachchan
Jism 2,Holiday,No,Yes,thriller,Yes,No,Yes,Sunny Leone,Pooja Bhatt,Munish Makhija,1700,130000000,492575000,3.789038462,2012,130,3,3290,Pooja Bhatt,Randeep Hooda,Arunoday Singh,Arif Zakaria
The Dirty Picture,Normal,No,No,drama,No,No,No,Vidya Balan,Milan Luthria,Vishal - Shekhar,1600,310000000,1169997500,3.774185484,2011,144,6.6,8931,Milan Luthria,Vidya Balan,Emraan Hashmi,Tusshar Kapoor
Pink,Normal,No,No,drama,No,Yes,No,Amitabh Bachchan,Aniruddha Roy Chowdhury,Anupam Roy,1000,290000000,1093780000,3.771655172,2016,136,8.1,40953,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari
Kapoor & Sons,Normal,No,No,drama,No,No,No,Sidharth Malhotra,Shakun Batra,Amal Malik,1500,380000000,1432855000,3.770671053,2016,132,7.7,23991,Shakun Batra,Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah
Om Shanti Om,Holiday,No,No,masala,No,No,No,Shahrukh Khan,Farah Khan,Vishal - Shekhar,1200,400000000,1498725000,3.7468125,2007,162,6.7,40120,Farah Khan,Shah Rukh Khan,Deepika Padukone,Arjun Rampal
Ghajini,Holiday,Yes,No,action,No,Yes,No,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,520000000,1945820000,3.741961538,2008,186,7.3,57604,A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan
Dhoom 2,Holiday,No,Yes,action,No,No,No,Hrithik Roshan,Sanjay Gadhvi,Pritam,1000,420000000,1513890000,3.6045,2006,152,6.5,24610,Sanjay Gadhvi,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan
Partner,Normal,Yes,No,comedy,No,No,No,Salman Khan,David Dhawan,Sajid - Wajid,1100,280000000,1009115000,3.603982143,2007,155,5.8,11787,David Dhawan,Salman Khan,Govinda,Lara Dutta
Fanaa,Normal,No,No,love_story,No,No,No,Aamir Khan,Kunal Kohli,Jatin - Lalit,650,300000000,1054800000,3.516,2006,168,7.2,31437,Kunal Kohli,Aamir Khan,Kajol,Rishi Kapoor
Rang De Basanti,Holiday,No,No,drama,No,No,No,Aamir Khan,Rakesh Omprakash Mehra,A.R. Rehman,600,280000000,979080000,3.496714286,2006,167,8.1,114446,Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth
Barfi!,Normal,No,No,drama,No,No,No,Ranbir Kapoor,Anurag Basu,Pritam,1250,500000000,1747380000,3.49476,2012,151,8.1,77377,Anurag Basu,Ranbir Kapoor,Priyanka Chopra Jonas,Ileana D'Cruz
Singham,Normal,Yes,No,action,No,No,No,Ajay Devgn,Rohit Shetty,Ajay - Atul,2050,410000000,1413035000,3.446426829,2019,141,5.5,96,Navaniat Singh,Priyanka Arya,Sonam Bajwa,Kartar Cheema
